name;frameTime;F0final_sma;voicingFinalUnclipped_sma;pcm_loudness_sma
'unknown';0.010000;0;0;4.040010e-02
'unknown';0.020000;0;0;2.688565e-02
'unknown';0.030000;0;0;1.835374e-02
'unknown';0.040000;0;0;3.551460e-02
'unknown';0.050000;0;0;5.104931e-02
'unknown';0.060000;0;0;5.159631e-02
'unknown';0.070000;0;0;4.370478e-02
'unknown';0.080000;1.874022e+01;2.676452e-01;3.747540e-02
'unknown';0.090000;3.915289e+01;5.328596e-01;4.996974e-02
'unknown';0.100000;3.915289e+01;5.328596e-01;4.505498e-02
'unknown';0.110000;4.379097e+01;5.269229e-01;4.462665e-02
'unknown';0.120000;4.519160e+01;5.205719e-01;4.246026e-02
'unknown';0.130000;4.519160e+01;5.205719e-01;5.663640e-02
'unknown';0.140000;2.181329e+01;5.078103e-01;7.614724e-02
'unknown';0.150000;0;2.489468e-01;1.112535e-01
'unknown';0.160000;0;2.489468e-01;1.212699e-01
'unknown';0.170000;0;0;9.944382e-02
'unknown';0.180000;0;0;6.092185e-02
'unknown';0.190000;0;0;4.631641e-02
'unknown';0.200000;0;0;4.356396e-02
'unknown';0.210000;0;0;4.854250e-02
'unknown';0.220000;0;0;3.142837e-02
'unknown';0.230000;0;0;5.064397e-02
'unknown';0.240000;0;0;4.742864e-02
'unknown';0.250000;0;0;5.874692e-02
'unknown';0.260000;2.056256e+01;2.646957e-01;4.992703e-02
'unknown';0.270000;4.076667e+01;5.311464e-01;4.665298e-02
'unknown';0.280000;6.269532e+01;7.836750e-01;5.566799e-02
'unknown';0.290000;6.670437e+01;7.697568e-01;6.962049e-02
'unknown';0.300000;4.650025e+01;5.033061e-01;7.323311e-02
'unknown';0.310000;2.457159e+01;2.507775e-01;6.570438e-02
'unknown';0.320000;0;0;6.185083e-02
'unknown';0.330000;0;2.603590e-01;6.151226e-02
'unknown';0.340000;0;2.603590e-01;5.369021e-02
'unknown';0.350000;0;2.603590e-01;5.318341e-02
'unknown';0.360000;0;0;5.578330e-02
'unknown';0.370000;2.245600e+01;2.581503e-01;6.633548e-02
'unknown';0.380000;4.510681e+01;5.208492e-01;6.259134e-02
'unknown';0.390000;6.750434e+01;7.899850e-01;6.775763e-02
