,start,end,speaker
0,1.944,2.407,SPEAKER_00
1,4.904,5.455,SPEAKER_00
2,7.446,7.625,SPEAKER_00
3,7.864,8.587,SPEAKER_00
4,15.209,15.344,SPEAKER_01
5,16.555,16.982,SPEAKER_00
6,17.445,18.096,SPEAKER_01
7,19.752,20.375,SPEAKER_00
8,27.439,28.082,SPEAKER_01
9,28.375,28.647,SPEAKER_00
10,29.934,31.621,SPEAKER_01
11,31.773,32.203,SPEAKER_00
12,32.669,33.551,SPEAKER_01
13,33.551,34.299,SPEAKER_00
14,35.176,35.958,SPEAKER_01
15,37.674,39.175,SPEAKER_01
16,39.314,39.586,SPEAKER_00
