,start,end,speaker
0,0.66,1.36,SPEAKER_01
1,1.67,3.56,SPEAKER_01
2,3.79,4.71,SPEAKER_01
3,6.26,10.38,SPEAKER_00
4,10.38,11.2,SPEAKER_01
5,11.52,13.38,SPEAKER_00
6,13.38,14.0,SPEAKER_01
7,15.22,19.15,SPEAKER_00
8,19.45,21.66,SPEAKER_01
9,21.39,21.56,SPEAKER_00
10,22.02,31.3,SPEAKER_00
11,24.69,24.96,SPEAKER_01
12,31.72,33.27,SPEAKER_01
13,33.78,34.19,SPEAKER_00
14,35.1,39.65,SPEAKER_00
15,40.6,41.7,SPEAKER_01
16,42.13,44.06,SPEAKER_01
17,44.99,47.53,SPEAKER_00
18,46.96,48.53,SPEAKER_01
