,start,end,speaker
0,1.92,2.39,SPEAKER_00
1,4.86,5.48,SPEAKER_00
2,7.52,7.64,SPEAKER_02
3,7.98,8.23,SPEAKER_02
4,8.23,8.43,SPEAKER_00
5,8.43,8.57,SPEAKER_02
6,14.0,14.04,SPEAKER_02
7,14.07,14.32,SPEAKER_02
8,15.3,15.39,SPEAKER_01
9,16.52,16.64,SPEAKER_01
10,16.64,17.18,SPEAKER_02
11,17.26,17.94,SPEAKER_02
12,19.52,20.53,SPEAKER_02
13,27.47,28.18,SPEAKER_03
14,28.26,28.7,SPEAKER_03
15,29.88,31.6,SPEAKER_03
16,32.7,34.19,SPEAKER_03
17,35.23,35.94,SPEAKER_04
18,37.63,39.25,SPEAKER_03
