,start,end,speaker
0,1.94,2.38,SPEAKER_01
1,4.87,5.38,SPEAKER_01
2,6.16,6.33,SPEAKER_01
3,7.39,8.76,SPEAKER_01
4,13.67,14.32,SPEAKER_01
5,16.5,17.18,SPEAKER_01
6,17.23,18.14,SPEAKER_01
7,19.5,20.47,SPEAKER_01
8,27.45,28.75,SPEAKER_01
9,29.88,31.57,SPEAKER_01
10,31.72,32.19,SPEAKER_00
11,32.62,34.17,SPEAKER_01
12,35.22,35.99,SPEAKER_01
13,37.61,39.27,SPEAKER_01
