,start,end,speaker
0,1.92,2.39,SPEAKER_01
1,4.87,5.46,SPEAKER_01
2,7.42,8.74,SPEAKER_01
3,15.07,15.44,SPEAKER_01
4,16.52,17.77,SPEAKER_01
5,17.78,17.82,SPEAKER_01
6,17.83,17.85,SPEAKER_01
7,19.52,20.48,SPEAKER_01
8,28.31,28.72,SPEAKER_01
9,29.88,31.67,SPEAKER_01
10,31.71,31.72,SPEAKER_01
11,31.72,32.18,SPEAKER_00
12,32.67,34.22,SPEAKER_01
13,35.3,35.96,SPEAKER_01
14,37.63,39.18,SPEAKER_01
